10.0000,-0.2754
10.0802,-0.2803
10.1603,-0.2849
10.2405,-0.2892
10.3206,-0.2933
10.4008,-0.2970
10.4810,-0.3003
10.5611,-0.3033
10.6413,-0.3058
10.7214,-0.3080
10.8016,-0.3098
10.8818,-0.3111
10.9619,-0.3120
11.0421,-0.3124
11.1222,-0.3124
11.2024,-0.3119
11.2826,-0.3109
11.3627,-0.3095
11.4429,-0.3075
11.5230,-0.3051
11.6032,-0.3021
11.6834,-0.2987
11.7635,-0.2947
11.8437,-0.2903
11.9238,-0.2853
12.0040,-0.2799
12.0842,-0.2739
12.1643,-0.2675
12.2445,-0.2606
12.3246,-0.2532
12.4048,-0.2453
12.4850,-0.2370
12.5651,-0.2282
12.6453,-0.2190
12.7255,-0.2093
12.8056,-0.1992
12.8858,-0.1888
12.9659,-0.1779
13.0461,-0.1666
13.1263,-0.1550
13.2064,-0.1431
13.2866,-0.1308
13.3667,-0.1182
13.4469,-0.1054
13.5271,-0.0922
13.6072,-0.0788
13.6874,-0.0652
13.7675,-0.0513
13.8477,-0.0373
13.9279,-0.0231
14.0080,-0.0088
14.0882,0.0057
14.1683,0.0203
14.2485,0.0350
14.3287,0.0497
14.4088,0.0644
14.4890,0.0792
14.5691,0.0940
14.6493,0.1087
14.7295,0.1234
14.8096,0.1380
14.8898,0.1526
14.9699,0.1670
15.0501,0.1813
15.1303,0.1954
15.2104,0.2093
15.2906,0.2230
15.3707,0.2366
15.4509,0.2498
15.5311,0.2628
15.6112,0.2756
15.6914,0.2880
15.7715,0.3002
15.8517,0.3120
15.9319,0.3234
16.0120,0.3345
16.0922,0.3453
16.1723,0.3556
16.2525,0.3656
16.3327,0.3751
16.4128,0.3842
16.4930,0.3928
16.5731,0.4010
16.6533,0.4088
16.7335,0.4161
16.8136,0.4229
16.8938,0.4292
16.9739,0.4351
17.0541,0.4404
17.1343,0.4453
17.2144,0.4496
17.2946,0.4535
17.3747,0.4568
17.4549,0.4597
17.5351,0.4620
17.6152,0.4639
17.6954,0.4652
17.7756,0.4660
17.8557,0.4663
17.9359,0.4662
18.0160,0.4655
18.0962,0.4644
18.1764,0.4628
18.2565,0.4607
18.3367,0.4582
18.4168,0.4552
18.4970,0.4517
18.5772,0.4478
18.6573,0.4435
